company_id,company_name,sector,overall_score,health_label,score_profitability,score_revenue_growth,score_leverage,score_cashflow,score_dividend,score_growth_trend
78,Company_78,Banking,44.55,WEAK,10.5,10.42,1.3,15.0,7.32,0
79,Company_79,Pharma,89.03,EXCELLENT,24.75,20.0,9.29,15.0,9.99,10
80,Company_80,Banking,53.39,AVERAGE,22.0,0.0,0.0,15.0,6.39,10
81,Company_81,Banking,62.06,AVERAGE,14.75,6.01,16.3,15.0,10.0,0
82,Company_82,Energy,51.17,AVERAGE,16.25,0.0,0.0,15.0,9.92,10
83,Company_83,Pharma,71.58,GOOD,13.25,8.86,16.42,15.0,8.05,10
84,Company_84,Energy,54.31,AVERAGE,22.5,8.49,0.0,15.0,8.31,0
85,Company_85,Energy,58.93,AVERAGE,4.0,12.68,18.76,15.0,8.5,0
86,Company_86,Pharma,43.98,WEAK,6.75,0.0,12.23,15.0,10.0,0
87,Company_87,IT,43.98,WEAK,7.5,0.0,1.48,15.0,10.0,10
88,Company_88,Energy,43.06,WEAK,12.75,0.0,5.31,15.0,10.0,0
89,Company_89,Auto,60.37,AVERAGE,8.5,20.0,6.87,15.0,10.0,0
90,Company_90,Auto,52.84,AVERAGE,3.0,20.0,5.76,15.0,9.08,0
91,Company_91,Banking,56.76,AVERAGE,22.75,0.0,1.57,12.43,10.0,10
92,Company_92,Auto,38.46,WEAK,15.5,0.0,0.0,15.0,7.96,0
93,Company_93,Banking,36.63,WEAK,15.0,0.0,0.0,12.04,9.59,0
94,Company_94,IT,57.89,AVERAGE,5.75,20.0,9.0,15.0,8.15,0
95,Company_95,Pharma,54.84,AVERAGE,10.0,14.31,6.33,15.0,9.2,0
96,Company_96,Pharma,40.67,WEAK,2.0,10.06,3.61,15.0,10.0,0
97,Company_97,Pharma,59.64,AVERAGE,24.0,0.0,1.9,15.0,8.73,10
98,Company_98,Auto,49.03,WEAK,14.25,0.0,0.54,15.0,9.24,10
99,Company_99,IT,77.3,GOOD,21.0,19.01,14.48,15.0,7.81,0
100,Company_100,Auto,70.24,GOOD,4.25,20.0,13.73,12.26,10.0,10
